Date,Player,Team,Opp,Type,Edge,Reason
2026-02-02,Mavrik Bourque,DAL,WPG,🚀 OVER,0.43,HOME vs WPG | AVG G | L5: 1.9 vs Avg: 1.67
2026-02-01,Alex Laferriere,LAK,CAR,🚀 OVER,0.42,AWAY vs CAR | SIEVE G | L5: 2.5 vs Avg: 2.38
2026-02-03,Olen Zellweger,ANA,SEA,🚀 OVER,0.42,HOME vs SEA | AVG G | L5: 1.9 vs Avg: 1.68
2026-02-03,Ryan Shea,PIT,NYI,🚀 OVER,0.42,AWAY vs NYI | AVG G | L5: 1.6 vs Avg: 0.98
2026-02-02,Linus Karlsson,VAN,UTA,🚀 OVER,0.42,AWAY vs UTA | AVG G | L5: 2.2 vs Avg: 1.58
2026-02-03,Max Domi,TOR,EDM,🚀 OVER,0.42,AWAY vs EDM | SIEVE G | L5: 1.7 vs Avg: 1.58
2026-02-03,Taylor Hall,CAR,OTT,🚀 OVER,0.41,HOME vs OTT | SIEVE G | L5: 1.3 vs Avg: 1.59
2026-02-03,Rickard Rakell,PIT,NYI,🚀 OVER,0.41,AWAY vs NYI | AVG G | L5: 3.7 vs Avg: 3.09
2026-02-03,Adam Larsson,SEA,ANA,🚀 OVER,0.41,AWAY vs ANA | SIEVE G | L5: 1.2 vs Avg: 1.09
2026-02-02,Dylan DeMelo,WPG,DAL,🚀 OVER,0.41,AWAY vs DAL | AVG G | L5: 1.5 vs Avg: 0.89
2026-02-02,Ilya Mikheyev,CHI,SJS,🚀 OVER,0.4,HOME vs SJS | SIEVE G | L5: 1.3 vs Avg: 1.6
2026-02-03,Travis Konecny,PHI,WSH,🚀 OVER,0.4,HOME vs WSH | AVG G | L5: 2.5 vs Avg: 2.3
2026-02-02,Matthew Wood,NSH,STL,🚀 OVER,0.4,HOME vs STL | SIEVE G | L5: 1.2 vs Avg: 1.5
2026-02-03,Trevor Zegras,PHI,WSH,🚀 OVER,0.4,HOME vs WSH | AVG G | L5: 2.4 vs Avg: 2.2
2026-02-02,A.J. Greer,FLA,BUF,🚀 OVER,0.4,HOME vs BUF | AVG G | L5: 1.5 vs Avg: 1.3
2026-02-03,William Nylander,TOR,EDM,🚀 OVER,0.39,AWAY vs EDM | SIEVE G | L5: 2.2 vs Avg: 2.11
2026-02-02,Justin Faulk,STL,NSH,🚀 OVER,0.39,AWAY vs NSH | SIEVE G | L5: 2.0 vs Avg: 1.91
2026-02-02,Elias Pettersson,VAN,UTA,🚀 OVER,0.39,AWAY vs UTA | AVG G | L5: 1.1 vs Avg: 0.51
2026-02-02,Sam Steel,DAL,WPG,🚀 OVER,0.39,HOME vs WPG | AVG G | L5: 1.3 vs Avg: 1.11
2026-02-03,Charle-Edouard D'Astous,TBL,BUF,🚀 OVER,0.39,HOME vs BUF | AVG G | L5: 1.4 vs Avg: 1.21
2026-02-02,Brayden Schenn,STL,NSH,🚀 OVER,0.38,AWAY vs NSH | SIEVE G | L5: 1.5 vs Avg: 1.42
2026-02-01,Rasmus Andersson,VGK,ANA,🚀 OVER,0.38,AWAY vs ANA | SIEVE G | L5: 2.5 vs Avg: 2.42
2026-02-02,Carter Verhaeghe,FLA,BUF,🚀 OVER,0.38,HOME vs BUF | AVG G | L5: 2.5 vs Avg: 2.32
2026-02-02,Danila Yurov,MIN,MTL,🚀 OVER,0.38,HOME vs MTL | SIEVE G | L5: 0.8 vs Avg: 1.12
2026-02-03,Logan Stankoven,CAR,OTT,🚀 OVER,0.38,HOME vs OTT | SIEVE G | L5: 1.7 vs Avg: 2.02
2026-02-02,Kirill Kaprizov,MIN,MTL,🚀 OVER,0.38,HOME vs MTL | SIEVE G | L5: 3.2 vs Avg: 3.52
2026-02-03,Jake Guentzel,TBL,BUF,🚀 OVER,0.37,HOME vs BUF | AVG G | L5: 2.8 vs Avg: 2.63
2026-02-03,Gage Goncalves,TBL,BUF,🚀 OVER,0.35,HOME vs BUF | AVG G | L5: 1.0 vs Avg: 0.85
2026-02-02,Ivan Demidov,MTL,MIN,🚀 OVER,0.35,AWAY vs MIN | AVG G | L5: 2.0 vs Avg: 1.45
2026-02-02,Macklin Celebrini,SJS,CHI,🚀 OVER,0.35,AWAY vs CHI | AVG G | L5: 4.0 vs Avg: 3.45
2026-02-02,Josh Morrissey,WPG,DAL,🚀 OVER,0.35,AWAY vs DAL | AVG G | L5: 2.4 vs Avg: 1.85
