Date,Player,Team,Opp,Type,Edge,Reason
2026-02-02,Marco Rossi,VAN,UTA,📉 UNDER,-0.54,AWAY vs UTA | AVG G | L5: 1.1 vs Avg: 1.44
2026-02-02,James van Riemsdyk,DET,COL,📉 UNDER,-0.56,AWAY vs COL | AVG G | L5: 1.3 vs Avg: 1.66
2026-02-02,Morgan Barron,WPG,DAL,📉 UNDER,-0.56,AWAY vs DAL | AVG G | L5: 1.2 vs Avg: 1.56
2026-02-02,Mark Scheifele,WPG,DAL,📉 UNDER,-0.57,AWAY vs DAL | AVG G | L5: 1.7 vs Avg: 2.07
2026-02-03,Jesper Bratt,NJD,CBJ,📉 UNDER,-0.58,HOME vs CBJ | AVG G | L5: 1.4 vs Avg: 2.18
2026-02-03,Mattias Samuelsson,BUF,TBL,📉 UNDER,-0.58,AWAY vs TBL | AVG G | L5: 1.0 vs Avg: 1.38
2026-02-03,Zach Werenski,CBJ,NJD,📉 UNDER,-0.58,AWAY vs NJD | AVG G | L5: 3.2 vs Avg: 3.58
2026-02-03,Dmitri Voronkov,CBJ,NJD,📉 UNDER,-0.59,AWAY vs NJD | AVG G | L5: 1.5 vs Avg: 1.89
2026-02-02,Simon Edvinsson,DET,COL,📉 UNDER,-0.59,AWAY vs COL | AVG G | L5: 0.8 vs Avg: 1.19
2026-02-01,Shea Theodore,VGK,ANA,📉 UNDER,-0.59,AWAY vs ANA | SIEVE G | L5: 1.2 vs Avg: 2.09
2026-02-01,Morgan Geekie,BOS,TBL,📉 UNDER,-0.6,AWAY vs TBL | AVG G | L5: 1.9 vs Avg: 2.3
2026-02-02,Alex Iafallo,WPG,DAL,📉 UNDER,-0.6,AWAY vs DAL | AVG G | L5: 0.9 vs Avg: 1.3
2026-02-03,Dawson Mercer,NJD,CBJ,📉 UNDER,-0.61,HOME vs CBJ | AVG G | L5: 1.1 vs Avg: 1.91
2026-02-03,Jackson LaCombe,ANA,SEA,📉 UNDER,-0.62,HOME vs SEA | AVG G | L5: 1.2 vs Avg: 2.02
2026-02-02,Moritz Seider,DET,COL,📉 UNDER,-0.62,AWAY vs COL | AVG G | L5: 1.7 vs Avg: 2.12
2026-02-03,Cole Sillinger,CBJ,NJD,📉 UNDER,-0.62,AWAY vs NJD | AVG G | L5: 1.3 vs Avg: 1.72
2026-02-01,Kevin Fiala,LAK,CAR,📉 UNDER,-0.68,AWAY vs CAR | SIEVE G | L5: 1.7 vs Avg: 2.68
2026-02-01,Elias Lindholm,BOS,TBL,📉 UNDER,-0.69,AWAY vs TBL | AVG G | L5: 1.1 vs Avg: 1.59
2026-02-03,Alex Tuch,BUF,TBL,📉 UNDER,-0.72,AWAY vs TBL | AVG G | L5: 1.9 vs Avg: 2.42
2026-02-03,Kirill Marchenko,CBJ,NJD,📉 UNDER,-0.74,AWAY vs NJD | AVG G | L5: 2.5 vs Avg: 3.04
2026-02-02,Dmitry Orlov,SJS,CHI,📉 UNDER,-0.74,AWAY vs CHI | AVG G | L5: 0.4 vs Avg: 0.94
2026-02-03,Boone Jenner,CBJ,NJD,📉 UNDER,-0.75,AWAY vs NJD | AVG G | L5: 1.6 vs Avg: 2.15
2026-02-02,William Eklund,SJS,CHI,📉 UNDER,-0.75,AWAY vs CHI | AVG G | L5: 2.0 vs Avg: 2.55
2026-02-03,Zach Benson,BUF,TBL,📉 UNDER,-0.78,AWAY vs TBL | AVG G | L5: 1.2 vs Avg: 1.78
2026-02-03,Erik Karlsson,PIT,NYI,📉 UNDER,-0.78,AWAY vs NYI | AVG G | L5: 1.5 vs Avg: 2.08
2026-02-01,Noah Hanifin,VGK,ANA,📉 UNDER,-0.79,AWAY vs ANA | SIEVE G | L5: 1.0 vs Avg: 2.09
2026-02-03,Sean Monahan,CBJ,NJD,📉 UNDER,-0.8,AWAY vs NJD | AVG G | L5: 1.0 vs Avg: 1.6
2026-02-02,Mackie Samoskevich,FLA,BUF,📉 UNDER,-0.82,HOME vs BUF | AVG G | L5: 1.1 vs Avg: 2.12
2026-02-02,Valeri Nichushkin,COL,DET,📉 UNDER,-0.84,HOME vs DET | AVG G | L5: 1.3 vs Avg: 2.34
2026-02-02,Nino Niederreiter,WPG,DAL,📉 UNDER,-0.84,AWAY vs DAL | AVG G | L5: 0.7 vs Avg: 1.34
2026-02-02,Conor Garland,VAN,UTA,📉 UNDER,-0.91,AWAY vs UTA | AVG G | L5: 1.4 vs Avg: 2.11
2026-02-03,Josh Doan,BUF,TBL,📉 UNDER,-0.99,AWAY vs TBL | AVG G | L5: 1.4 vs Avg: 2.19
2026-02-02,Philipp Kurashev,SJS,CHI,📉 UNDER,-1.03,AWAY vs CHI | AVG G | L5: 0.7 vs Avg: 1.53
2026-02-02,Emmitt Finnie,DET,COL,📉 UNDER,-1.12,AWAY vs COL | AVG G | L5: 0.6 vs Avg: 1.52
2026-02-02,Patrick Kane,DET,COL,📉 UNDER,-1.26,AWAY vs COL | AVG G | L5: 1.4 vs Avg: 2.46
